Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Roofing contractor,,Roofing,,,,,,5.0,,,,,,,,,,,,"14 Custer St, Brockton, MA 02301",Brockton,PLYMOUTH,MA,,"3X9F+GQ Brockton, Massachusetts",Google Maps
Roofing contractor,,Coelho Construction,(508) 828-9741,,hibustudio.com,,,1.0,,,,,,,,,,https://www.facebook.com/Coelho-Construction-LLC-1116735338359126/,,"4 Morris Hope Ln, Berkley, MA 02779",Berkley,BRISTOL,MA,,"RWJJ+76 Berkley, Massachusetts",Google Maps
Construction company,,SFB Construction,(413) 458-4649,,sfbconstructionllc.com,,48.0,5.0,,,,,,,,,,https://m.facebook.com/SFB-Construction-226520190709098/,,"165 Cold Spring Rd, Williamstown, MA 02167",,,,,"PQ6J+GX Williamstown, Massachusetts",Google Maps
Roofing contractor,,Bob Rogers Roofing,(508) 429-2947,,,,13.0,4.7,,,,,,,,,,,,"118 Washington St, Holliston, MA 01746",Holliston,MIDDLESEX,MA,,"6H8P+FJ Holliston, Massachusetts",Google Maps
Roofing contractor,,Harry's Construction,(978) 719-1053,,harrysconstructionma.com,,13.0,4.7,,,,,,,,,https://www.instagram.com/harrysconstruction/,https://www.facebook.com/harrysconstructioninc,,"561 Boston Post Rd E Suite 2, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"8FXV+53 Marlborough, Massachusetts",Google Maps
Roofing contractor,,Weaver Roofing,(508) 326-4227,,,,,,,,,,,,,,,,,"15 Roosevelt Rd, Holbrook, MA 02343",Holbrook,NORFOLK,MA,,"4XWF+FP Holbrook, Massachusetts",Google Maps
Roofing contractor,American,Simons Roofing,(508) 823-8668,,,,,,CHAD,W SIMONS,,,,,,,,,,"631 Berkley St, Berkley, MA 02779",Berkley,BRISTOL,MA,,"VW22+84 Berkley, Massachusetts",Google Maps
Marble & Granite,Portuguese,5 Star Granite,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
Roofing Contractor,Portuguese,Coastal Roofing & Siding,,,,,,,Lucas,Coelho,,,,,,,https://www.instagram.com/coastalroofingsiding/,https://www.facebook.com/coastalroofingsiding,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing contractor,,Commer Roofing,(617) 890-7104,,commercialroofingcontractingmntnc.site,,,,,,,,,,,,,,,"383 Dorchester Ave Suite 230, Boston, MA 02127",Boston,SUFFOLK,MA,,"8WMR+XX Boston, Massachusetts",Google Maps
Roofing contractor,Spanish,Marquez Construction,(617) 281-4073,,marquezconstructioninc.com,,26.0,4.8,FERNANDO,MARQUEZ,,,,,https://www.linkedin.com/in/fernando-lobato-marquez-896878190/,,,,,"17 Pinewood Dr, Framingham, MA 01701",Framingham,MIDDLESEX,MA,,"8HJW+72 Framingham, Massachusetts",Google Maps
Roofing contractor,English,"LaBelle Roofing,",(978) 297-4400,,labelleroofing.com,,,,ROBERT,LABELLE,,,,,https://www.linkedin.com/in/robertlabelle/,,,https://www.facebook.com/LaBelleRoofing/,,"3 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXJ2+9J Winchendon, Massachusetts",Google Maps
Roofing contractor,,Shawmut Roofing,(866) 491-1446,,,,,,,,,,,,,,,,,"210 Broadway, Cambridge, MA 02139",Cambridge,MIDDLESEX,MA,,"9W84+9H Cambridge, Massachusetts",Google Maps
