Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Roofing contractor,,Roofing,,,,,,5.0,,,,,,,,,,,,"14 Custer St, Brockton, MA 02301",Brockton,PLYMOUTH,MA,,"3X9F+GQ Brockton, Massachusetts",Google Maps
Roofing contractor,,Coelho Construction LLC,(508) 828-9741,,hibustudio.com,,,1.0,,,,,,,,,,https://www.facebook.com/Coelho-Construction-LLC-1116735338359126/,,"4 Morris Hope Ln, Berkley, MA 02779",Berkley,BRISTOL,MA,,"RWJJ+76 Berkley, Massachusetts",Google Maps
Construction company,,SFB Construction,(413) 458-4649,,sfbconstructionllc.com,,48,5.0,,,,,,,,,,https://m.facebook.com/SFB-Construction-226520190709098/,,"165 Cold Spring Rd, Williamstown, MA 02167",,,,,"PQ6J+GX Williamstown, Massachusetts",Google Maps
Roofing contractor,,Bob Rogers Roofing Co,(508) 429-2947,,,,13,4.7,,,,,,,,,,,,"118 Washington St, Holliston, MA 01746",Holliston,MIDDLESEX,MA,,"6H8P+FJ Holliston, Massachusetts",Google Maps
Roofing contractor,,Harry's Construction Inc.,(978) 719-1053,,harrysconstructionma.com,,13,4.7,,,,,,,,,https://www.instagram.com/harrysconstruction/,https://www.facebook.com/harrysconstructioninc,,"561 Boston Post Rd E Suite 2, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"8FXV+53 Marlborough, Massachusetts",Google Maps
Roofing contractor,,Weaver Roofing,(508) 326-4227,,,,,,,,,,,,,,,,,"15 Roosevelt Rd, Holbrook, MA 02343",Holbrook,NORFOLK,MA,,"4XWF+FP Holbrook, Massachusetts",Google Maps
Roofing contractor,American,Simons Roofing Inc,(508) 823-8668,,,,,,CHAD,W SIMONS,,,,,,,,,,"631 Berkley St, Berkley, MA 02779",Berkley,BRISTOL,MA,,"VW22+84 Berkley, Massachusetts",Google Maps
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
Roofing Contractor,Portuguese,Coastal Roofing & Siding,,,,,,,Lucas,Coelho,,,,,,,,,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing contractor,,Commer Roofing,(617) 890-7104,,commercialroofingcontractingmntnc.site,,,,,,,,,,,,,,,"383 Dorchester Ave Suite 230, Boston, MA 02127",Boston,SUFFOLK,MA,,"8WMR+XX Boston, Massachusetts",Google Maps
Roofing contractor,Spanish,Marquez Construction Inc.,(617) 281-4073,,marquezconstructioninc.com,,26,4.8,FERNANDO,MARQUEZ,,,,,,,,,,"17 Pinewood Dr, Framingham, MA 01701",Framingham,MIDDLESEX,MA,,"8HJW+72 Framingham, Massachusetts",Google Maps
Roofing Contractor,Portuguese,Coastal Roofing & Siding,,,,,,,Lucas,Coelho,,,,,,,https://www.instagram.com/coastalroofingsiding/,https://www.facebook.com/coastalroofingsiding,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing contractor,English,"LaBelle Roofing, Inc",(978) 297-4400,,labelleroofing.com,,,,ROBERT,LABELLE,,,,,,,,https://www.facebook.com/LaBelleRoofing/,,"3 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXJ2+9J Winchendon, Massachusetts",Google Maps
Roofing contractor,,Shawmut Roofing,(866) 491-1446,,,,,,,,,,,,,,,,,"210 Broadway, Cambridge, MA 02139",Cambridge,MIDDLESEX,MA,,"9W84+9H Cambridge, Massachusetts",Google Maps
Gutter service,,Neathawk Seamless Gutters,(413) 281-2340,,neathawkseamlessgutters.com,,3,5.0,,,,,,,,,,https://www.facebook.com/NeathawkSeamlessGutters,,"610 N Hoosac Rd, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,"PR96+FV Williamstown, Massachusetts",Google Maps
Roofing contractor,,"Reliable Roofing, Siding & Windows",(781) 746-7333,,reliablewindowandsiding.net,,154,4.7,,,,,,,,,,https://www.facebook.com/ReliableWindowSiding,https://www.linkedin.com/company/reliable-roofing-siding-and-windows,"194 Tosca Dr, Stoughton, MA 02072",Stoughton,NORFOLK,MA,,"4VPG+C4 Stoughton, Massachusetts",Google Maps
Roofing Contractor,Spanish,Water Tight,,,,,,,Jorge,Romero,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing Contractor,Spanish,Water Tight,,,,,,,Jorge,Romero,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing contractor,French,Exclusive Roofing Inc.,(508) 558-3844,,exclusiveroofinginc.com,,31,4.9,STEPHEN,PAUL MICHAUD,,,,,,,,,,"1610 Grand Army of the Republic Hwy, Somerset, MA 02726",Somerset,BRISTOL,MA,,"PRQ9+57 Somerset, Massachusetts",Google Maps
Roofing contractor,,Shore Lock Homes,(800) 916-9438,,justfixmyhome.com,,74,4.1,,,,,,,,,,https://www.facebook.com/shorelockhomes/,,"2 Pumpkin Pine Rd, Natick, MA 01760",Natick,MIDDLESEX,MA,,,Google Maps
Roofing contractor,French,Exclusive Roofing Inc.,(508) 558-3844,,exclusiveroofinginc.com,,31,4.9,STEPHEN,PAUL MICHAUD MR.,,,,,,,,,,"1610 Grand Army of the Republic Hwy, Somerset, MA 02726",Somerset,BRISTOL,MA,,"PRQ9+57 Somerset, Massachusetts",Google Maps
Roofing contractor,,Belmonte Roofing & Remodeling,(508) 269-8210,,,,,5.0,,,,,,,,,,https://www.facebook.com/belmonteroofingandremodeling/,,"3 Concetta Cir, Mansfield, MA 02048",Mansfield,BRISTOL,MA,,"2QRJ+HF Mansfield, Massachusetts",Google Maps
Roofing contractor,Portuguese,American Roofing Inc.,(508) 669-4361,,facebook.com,,5,4.2,ERIC,CORREIA,,,,,,,,,,"2739 Elm St, Dighton, MA 02715",Dighton,BRISTOL,MA,,"QVX7+VV Dighton, Massachusetts",Google Maps
Roofing Contractor,Portuguese,Forty one construction,,,,,,,Daniel,Araújo,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,Portuguese,Hormes Stone,,,,,,,Roberto,Hormes,,,,,,,https://www.thumbtack.com/websites/services/509591338717749262/instagram/redirect,,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
General Contractors,,Square Up Construction,(978) 732-4580,,,,1,5,,,,,,,,,,https://www.facebook.com/biz/contractor/?place_id=103094516397070,,68 Stuart St,Gardner,WORCESTER,MA,,,Yelp
Roofing contractor,Portuguese,American Roofing Inc.,(508) 669-4361,,facebook.com,,5,4.2,PAULA,RODRIGUES,,,,,,,,,,"2739 Elm St, Dighton, MA 02715",Dighton,BRISTOL,MA,,"QVX7+VV Dighton, Massachusetts",Google Maps
Roofing contractor,American,Bosworth Roofing Remodeling,(508) 881-9400,,bosworthroofing.com,,7,3.7,BEAU,W. BOSWORTH,,,,,,,,https://www.facebook.com/bosworth.roofing.5/,,"1 W Mountain Ln, Ashland, MA 01721",Ashland,MIDDLESEX,MA,,"7G9P+87 Ashland, Massachusetts",Google Maps
Roofing contractor,Portuguese,Gemini Home Improvement,(401) 229-6445,,,,,,PEDRO,CORREIA,,,,,,,,,,"57 Robin Hood Dr, Seekonk, MA 02771",Seekonk,BRISTOL,MA,,"VMVJ+HG Seekonk, Massachusetts",Google Maps
