Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Marble & Granite,,Atlantis Stone Inc,,,,,,,Rosana,Oliveira,,,,,,,https://www.thumbtack.com/websites/services/458678957800169491/instagram/redirect,https://www.thumbtack.com/websites/services/458678957800169491/facebook/redirect,,01072,Shutesbury,FRANKLIN,MA,,,Thumbtack
Marble & Granite,,Onyx Marble and Granite,,,,,,,Poliana,Moraes,,,,,,,https://www.thumbtack.com/websites/services/467222827721031688/instagram/redirect,https://www.thumbtack.com/websites/services/467222827721031688/facebook/redirect,,02668,West Barnstable,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02720,Fall River,BRISTOL,MA,,,Thumbtack
Marble & Granite,,Three Stone,,,,,,,Carlos,Oliveira,,,,,,,https://www.thumbtack.com/websites/services/517628588242804736/instagram/redirect,,,01913,Amesbury,ESSEX,MA,,,Thumbtack
Marble & Granite,,Hormes Stone,,,,,,,Roberto,Hormes,,,,,,,https://www.thumbtack.com/websites/services/509591338717749262/instagram/redirect,,,01951,Newbury,ESSEX,MA,,,Thumbtack
Marble & Granite,,SPACE COUNTERTOP INC,,,,,,,Weliton,Reis,,,,,,,,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,,Apex Marble and Granite,,,,,,,Rodrigo,Cruciol,,,,,,,,,,02769,Rehoboth,BRISTOL,MA,,,Thumbtack
Marble & Granite,,FRAUCHES Marble and Granite,,,,,,,Washington,Da Silva,,,,,,,,https://m.facebook.com/people/Frauches-Granite/100000548962574/,,01036,Hampden,HAMPDEN,MA,,,Thumbtack
Marble & Granite,,SPACE COUNTERTOP INC,,,,,,,Weliton,Reis,,,,,,,,,,02675,Yarmouth Port,BARNSTABLE,MA,,,Thumbtack
Granite supplier,,"Absolute Stone, LLC",(781) 963-6029,,,,9,4.4,,,,,,,,,,,,"43 York Ave, Randolph, MA 02368",Randolph,NORFOLK,MA,,"5WJH+VF Randolph, Massachusetts",Google Maps
