Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Marble & Granite,,Three Stone,,,,,,,Carlos,Oliveira,,,,,,,https://www.thumbtack.com/websites/services/517628588242804736/instagram/redirect,,,02561,Sagamore,BARNSTABLE,MA,,,Thumbtack,,
"Flooring, Carpet Installation, Snow Removal",,Double D Flooring and Property,(774) 452-6659,,,,1,5,,,,,,,,,,,,,Worcester,WORCESTER,MA,,,Yelp,,
Roofing contractor,,Harry's Construction Inc.,(978) 719-1053,,harrysconstructionma.com,,13,4.7,,,,,,,,,,,,"561 Boston Post Rd E Suite 2, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"8FXV+53 Marlborough, Massachusetts",Google Maps,,
Roofing contractor,,Dubay Brothers Roofing,(413) 781-2533,,,,3,5.0,,,,,,,,,,,,"35 Edendale St, Springfield, MA 01104",Springfield,HAMPDEN,MA,,"4CRR+VV Springfield, Massachusetts",Google Maps,,
Roofing contractor,,Bob Rogers Roofing Co,(508) 429-2947,,,,13,4.7,,,,,,,,,,,,"118 Washington St, Holliston, MA 01746",Holliston,MIDDLESEX,MA,,"6H8P+FJ Holliston, Massachusetts",Google Maps,,
Roofing contractor,,Weaver Roofing,(508) 326-4227,,,,,,,,,,,,,,,,,"15 Roosevelt Rd, Holbrook, MA 02343",Holbrook,NORFOLK,MA,,"4XWF+FP Holbrook, Massachusetts",Google Maps,,
Roofing contractor,,Roofing,,,,,,5.0,,,,,,,,,,,,"14 Custer St, Brockton, MA 02301",Brockton,PLYMOUTH,MA,,"3X9F+GQ Brockton, Massachusetts",Google Maps,,
Roofing contractor,,Coelho Construction LLC,(508) 828-9741,,hibustudio.com,,,1.0,,,,,,,,,,,,"4 Morris Hope Ln, Berkley, MA 02779",Berkley,BRISTOL,MA,,"RWJJ+76 Berkley, Massachusetts",Google Maps,,
Roofing contractor,,Commer Roofing,(617) 890-7104,,commercialroofingcontractingmntnc.site,,,,,,,,,,,,,,,"383 Dorchester Ave Suite 230, Boston, MA 02127",Boston,SUFFOLK,MA,,"8WMR+XX Boston, Massachusetts",Google Maps,,
Roofing Contractor,,Coastal Roofing & Siding,,,,,,,Lucas,Coelho,,,,,,,,,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack,,
Marble & Granite,,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack,,
General Contractors,,Square Up Construction,(978) 732-4580,,,,1,5,,,,,,,,,,,,68 Stuart St,Gardner,WORCESTER,MA,,,Yelp,,
Roofing contractor,,"LaBelle Roofing, Inc",(978) 297-4400,,labelleroofing.com,,,,,,,,,,,,,,,"3 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXJ2+9J Winchendon, Massachusetts",Google Maps,,
Roofing contractor,,Shore Lock Homes,(800) 916-9438,,justfixmyhome.com,,74,4.1,,,,,,,,,,,,"2 Pumpkin Pine Rd, Natick, MA 01760",Natick,MIDDLESEX,MA,,,Google Maps,,
Roofing contractor,,Belmonte Roofing & Remodeling,(508) 269-8210,,,,,5.0,,,,,,,,,,,,"3 Concetta Cir, Mansfield, MA 02048",Mansfield,BRISTOL,MA,,"2QRJ+HF Mansfield, Massachusetts",Google Maps,,
Construction company,,SFB Construction,(413) 458-4649,,sfbconstructionllc.com,,48,5.0,,,,,,,,,,,,"165 Cold Spring Rd, Williamstown, MA 02167",,,,,"PQ6J+GX Williamstown, Massachusetts",Google Maps,,
