Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,LinkedIn
Shower door shop,,M&B Install,(413) 475-2774,,mbinstallinc.com,,7,5.0,,,,,,,,,,https://www.facebook.com/mbinstall,,"71 Old E St, Petersham, MA 01366",Petersham,WORCESTER,MA,,"FVJM+7W Petersham, Massachusetts",Google Maps,
Furniture store,,Dream Decor,(413) 304-4696,,dreamdecor.com,,126,4.2,,,,,,,,,,https://facebook.com/dreamdecorMA,,"120 Memorial Ave, West Springfield, MA 01089",West Springfield,HAMPDEN,MA,,"3CW2+XF West Springfield, Massachusetts",Google Maps,
General contractor,,4 County Construction,(413) 212-2747,,,,2,4.5,,,,,,,,,,https://www.facebook.com/4countyconstruction/,,"815 W Main St, Plainfield, MA 01070",Plainfield,HAMPSHIRE,MA,,"G2RF+M2 Plainfield, Massachusetts",Google Maps,
Flooring store,,Southern New England Hardwood,(508) 451-1243,,,,,,,,,,,,,,,,,"6 Church St, Douglas, MA 01516",Douglas,WORCESTER,MA,,"3735+WW Douglas, Massachusetts",Google Maps,
Construction company,,Lima Construction,(508) 999-7152,,,,4,4.0,,,,,,,,,,,,"3 Bridge St, Dartmouth, MA 02748",South Dartmouth,BRISTOL,MA,,"H3P4+M2 Dartmouth, Massachusetts",Google Maps,
Tile contractor,,Versatile Builders,(617) 939-7995,,versatilebuildersllc.com,,6,5.0,,,,,,,,,,,,"11 Bedford St, Quincy, MA 02169",Quincy,NORFOLK,MA,,"6XXQ+XC Quincy, Massachusetts",Google Maps,
Insulation contractor,,All Berkshire Insulation,(413) 347-7188,,,,,5.0,,,,,,,,,,,,"88 Joseph Dr, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"CQ88+HF Pittsfield, Massachusetts",Google Maps,
Granite supplier,,Calacatte & Marble,(617) 778-8974,,newenglandmarble.com,,9,4.3,,,,,,,,,,,,"58 Pulaski St, Peabody, MA 01960",Peabody,ESSEX,MA,,"G3RC+MV Peabody, Massachusetts",Google Maps,
Flooring contractor,,CDC Flooring,(781) 878-6068,,,,,5.0,,,,,,,,,,,,"100 Weymouth St, Rockland, MA 02370",Rockland,PLYMOUTH,MA,,"535R+3M Rockland, Massachusetts",Google Maps,
Carpet store,,Townsend Floors and Interiors,(978) 597-6220,,,,6,4.2,,,,,,,,,,,,"241 Main St, Townsend, MA 01469",Townsend,MIDDLESEX,MA,,"M78W+G8 Townsend, Massachusetts",Google Maps,
Contractor,,Home Services at The Home Depot,(844) 476-2140,,homedepot.com,,3,5.0,,,,,,,,,,https://www.facebook.com/homedepot/,,"350 Russell St, Hadley, MA 01035",Hadley,HAMPSHIRE,MA,,"9C5X+X5 Hadley, Massachusetts",Google Maps,
Furniture maker,,Hewn Wood Tile Furnishings and Interiors,(413) 822-0024,,,,,5.0,,,,,,,,,,https://www.facebook.com/hewntile/,,"60 N Hoosac Rd, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,"PR4F+88 Williamstown, Massachusetts",Google Maps,
Discount store,,Ollie's Bargain Outlet,(774) 773-3064,,ollies.us,,435,4.4,,,,,,,,,,https://www.facebook.com/OlliesPlymouth348/,,"10 Pilgrim Hill Rd, Plymouth, MA 02360",Plymouth,PLYMOUTH,MA,,"X828+CC Plymouth, Massachusetts",Google Maps,
Countertop store,,Rock Solid Marble And Granite,(413) 229-9001,,rocksolidmarbleandgranite.com,,23,4.8,,,,,,,,,,https://www.facebook.com/Rock-Solid-Marble-and-Granite-378161225333/,,"1719 N Main St, Sheffield, MA 01257",Sheffield,BERKSHIRE,MA,,"5J2M+WQ Sheffield, Massachusetts",Google Maps,
Marble contractor,,Final Seal Pros,(781) 281-8177,,finalsealpros.com,,51,5.0,,,,,,,,,https://www.instagram.com/finalsealpros/,,,"323 Andover St Building 1 Suite 10, Wilmington, MA 01887",Wilmington,MIDDLESEX,MA,,"HVX3+5Q Wilmington, Massachusetts",Google Maps,
Tile store,,Martha's Vineyard Tile Company,(508) 693-9707,,mvtileco.com,,,5.0,,,,,,,,,,,,"123 Beach Rd, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"FC33+69 Vineyard Haven, Tisbury, MA",Google Maps,
General contractor,,Nash Contracting,(508) 867-0344,,nashcontractinginc.com,,,5.0,,,,,,,,,,,https://www.linkedin.com/company/nash-contracting-inc,"209 N Main St STE 1, North Brookfield, MA 01535",North Brookfield,WORCESTER,MA,,"7W97+MR North Brookfield, Massachusetts",Google Maps,
Cabinet store,,Riversedge Kitchen And Home Design,(978) 823-0300,,riversedgekitchendesign.com,,17,4.5,,,,,,,,,https://www.instagram.com/mannieafonso/,,,"132 Great Rd, Stow, MA 01775",Stow,MIDDLESEX,MA,,"CGM6+8V Stow, Massachusetts",Google Maps,
